(1, 10, 795, 19, 168, 30),
(2, 12, 362, 16, 153, 28),
(3, 16, 845, 18, 202, 31),
(4, 1, 826, 18, 108, 28),
(5, 20, 1811, 17, 194, 34),
(6, 20, 200, 19, 162, 32),
(7, 22, 869, 18, 209, 34),
(8, 11, 1653, 18, 168, 32),
(9, 21, 697, 16, 134, 32),
(10, 19, 241, 16, 151, 32),
(11, 24, 1288, 19, 108, 27),
(12, 4, 43, 16, 160, 31),
(13, 13, 331, 19, 154, 28),
(14, 12, 43, 17, 168, 34),
(15, 21, 763, 18, 147, 25),
(16, 13, 1416, 19, 151, 28),
(17, 6, 347, 15, 126, 31),
(18, 19, 1116, 15, 189, 35),
(19, 21, 1569, 17, 148, 30),
(20, 25, 1788, 15, 138, 27),
(21, 20, 1227, 19, 119, 28),
(22, 19, 990, 19, 184, 33),
(23, 4, 990, 17, 193, 34),
(24, 9, 524, 16, 116, 30),
(25, 6, 1620, 19, 153, 35),
(26, 16, 1399, 19, 204, 31),
(27, 20, 1445, 17, 113, 33),
(28, 15, 1707, 18, 142, 28),
(29, 9, 1096, 17, 177, 27),
(30, 1, 290, 15, 208, 34),
(31, 17, 807, 17, 174, 29),
(32, 25, 1229, 17, 199, 30),
(33, 22, 496, 19, 204, 33),
(34, 17, 1536, 16, 145, 25),
(35, 22, 1413, 15, 180, 28),
(36, 5, 768, 15, 143, 30),
(37, 4, 1461, 18, 200, 25),
(38, 13, 76, 17, 203, 25),
(39, 9, 76, 17, 171, 26),
(40, 11, 681, 17, 185, 29),
(41, 15, 847, 19, 199, 34),
(42, 7, 472, 16, 176, 28),
(43, 19, 790, 17, 160, 33),
(44, 15, 1524, 18, 190, 25),
(45, 17, 1460, 19, 211, 28),
(46, 7, 1823, 16, 142, 34),
(47, 21, 1432, 15, 143, 29),
(48, 4, 1699, 19, 151, 33),
(49, 9, 295, 19, 182, 34),
(50, 24, 1232, 16, 117, 27),
(51, 17, 715, 17, 165, 33),
(52, 24, 500, 18, 117, 27),
(53, 1, 1588, 18, 189, 30),
(54, 20, 334, 15, 157, 35),
(55, 8, 1616, 16, 132, 32),
